政府帐号名,介绍,级别,是否环保部门,行政区划
江西发布,认证：江西省互联网信息办公室官方微博,省,否,江西省
金华发布,认证：浙江省金华市人民政府新闻办公室官方微博,市,否,浙江省金华市
浙江发布,认证：浙江省人民政府新闻办公室官方微博,省,否,浙江省
赣州发布,认证：江西省赣州市互联网信息办公室官方微博,市,否,江西省赣州市
江西安监,认证：江西省安全生产监督管理局官方微博,,否,江西省
宜春发布,认证：中共宜春市委网信办、宜春市互联网信息办公室官方微博,市,否,宜春市
萍乡发布,认证：中共萍乡市委宣传部、萍乡市人民政府新闻办公室,市,否,萍乡市
宁波垃圾分类,认证：宁波市生活垃圾分类管理办公室官方微博,市,否,宁波市
宁波发布,认证：宁波市政府新闻办公室官方微博,市,否,宁波市
瓯海发布,认证：浙江省温州市瓯海区人民政府新闻办公室官方微博,县,否,浙江省温州市瓯海区
石化实说,认证：中国石化新闻办公室官方微博,,否,
海盐发布,认证：海盐县政府新闻办公室,县,否,海盐县
安徽发布,认证：安徽省互联网信息办公室官方微博,,否,安徽省
中国食品药品监管,认证：国家食品药品监督管理总局微博,,否,
浙江省旅游局,认证：浙江省旅游局官方微博,,否,浙江省
杭州市公安消防局,认证：杭州市公安消防局,市,否,杭州市
衢州质监,认证：衢州市质量技术监督局官方微博,市,否,衢州市
装尚家,认证：唐山五合商贸办公室主管,,否,
衢州交警在线,认证：衢州市公安局交通警察支队官方微博,市,否,衢州市
浙江衢州公安,认证：浙江省衢州市公安局官方微博,市,否,浙江省衢州市
台州发布,认证：台州市人民政府新闻办公室官方微博,市,否,台州市
浙江海事,认证：中华人民共和国浙江海事局官方微博,,否,浙江省
证监会发布,认证：中国证监会办公厅新闻办官方微博,省,否,
淮南发布,认证：安徽省淮南市人民政府新闻办公室、外宣办公室官方微博,市,否,安徽省淮南市
安徽省教育厅,认证：安徽省教育厅官方微博、教育官微联盟成员,省,否,安徽省
安徽公安交警在线,认证：安徽省公安厅交警总队官方微博,省,否,安徽省
中国政府网,认证：国务院办公厅中国政府网运行中心,省,否,
安徽公安在线,认证：安徽省公安厅官方微博,省,否,安徽省
北仑科技,认证：浙江省宁波市北仑区科学技术局官方微博,县,否,浙江省宁波市北仑区
平安常州,认证：江苏常州市公安局官方微博,,否,江苏省常州市
滁州质监,认证：安徽省滁州市质量技术监督局官方微博,,否,安徽省滁州市
滁州安全监管,认证：安徽省滁州市安全生产监督管理局官方微博,,否,安徽省滁州市
滁州气象,认证：滁州市气象局官方微博,,否,滁州市
南京交警十大队,认证：南京市公安局交通管理局第十大队官方微博,,否,南京市
南京化工园公安,认证：江苏省南京市公安局化学工业园区分局官方微博,县,否,江苏省南京市业园区
南京城管,认证：南京市城市管理局官方微博,,否,南京市
平安泰州,认证：江苏省泰州市公安局官方微博,,否,江苏省泰州市
锡山发布,认证：无锡市锡山区人民政府办公室官方微博,县,否,无锡市锡山区
文明锡山,认证：无锡市锡山区精神文明建设指导委员会办公室官方微博,县,否,无锡市锡山区
无锡发布,认证：无锡市人民政府新闻办公室官方微博,,否,无锡市
宜昌夷陵YJH,认证：湖北省宜昌市夷陵区政协办公室主任科员,县,否,湖北省宜昌市夷陵区
晋江交警,认证：晋江市公安局交通警察大队官方微博,,否,晋江市
福州市食药监管,福州市食品药品监督管理局官方微博,,否,福州市
同安区旅游局,认证：厦门市同安区旅游局,县,否,厦门市同安区
福州气象,认证：福州市气象局官方微博,,否,福州市
德清发布,认证：浙江省湖州市德清县人民政府新闻办公室官方微博,县,否,浙江省湖州市德清县
义乌发布,认证：义乌市人民政府新闻办公室官方微博,,否,义乌市
亳州发布,认证：亳州市互联网信息办公室官方微博,,否,亳州市
芜湖发布,认证：安徽省芜湖市互联网宣传管理办公室官方微博,,否,安徽省芜湖市
芜湖政府网,认证：芜湖市人民政府办公室,,否,芜湖市
巢湖发布,认证：安徽省巢湖市人民政府新闻办公室官方微博,,否,安徽省巢湖市
淮北公安交警在线,认证：安徽省淮北市公安局交警支队官方微博,,否,安徽省淮北市
诸暨发布,认证：浙江省诸暨市人民政府新闻办公室官方微博,,否,浙江省诸暨市
东阳市市场监管局,认证：金华东阳市工商局官方微博,,否,东阳市
拱墅发布,认证：浙江省杭州市拱墅区人民政府办公室官方微博,县,否,浙江省杭州市拱墅区
徐州发布,认证：徐州市人民政府新闻办公室官方微博,,否,徐州市
宜兴发布,认证：江苏省宜兴市人民政府新闻办公室官方微博,,否,江苏省宜兴市
江阴发布,认证：江阴市人民政府新闻办公室官方微博,,否,江阴市
苏州发布,认证：苏州市人民政府新闻办公室官方微博,,否,苏州市
微博江苏,认证：江苏省人民政府新闻办公室官方微博,,否,江苏省
江苏教育发布,认证：江苏省教育厅官方微博、教育官微联盟成员,省,否,江苏省
昆山发布,认证：昆山市政府新闻办公室官方微博,,否,昆山市
指挥长在线,认证：江苏省太仓市公安局110指挥中心指挥长俞锦清,,否,江苏省太仓市
樟树发布,认证：中共樟树市委对外宣传办公室官方微博,,否,樟树市
常熟人社,认证：江苏省常熟市人力资源和社会保障局官方微博,,否,江苏省常熟市
文明张家港,认证：张家港市精神文明建设委员会办公室官方微博,,否,张家港市
昆山教育,认证：江苏省昆山市教育局官方微博，教育官微联盟成员,,否,江苏省昆山市
山东公安,认证：山东省公安厅官方微博,省,否,山东省
文登警方在线,认证：山东省威海市公安局文登分局官方微博,,否,山东省威海市
徐州司法,认证：徐州市司法局官方微博,,否,徐州市
徐州12348,认证：江苏省徐州市司法局12348指挥中心,,否,江苏省徐州市
池州发布,认证：安徽省池州市信息办公室,,否,安徽省池州市
上海发布,认证：上海市政府新闻办公室官方微博,,否,上海省上海市
浦东发布,认证：上海市浦东新区人民政府新闻办公室官方微博,县,否,上海省上海市东新区
光泽市场监督管理局,认证：福建省南平市光泽县药品监督管理局官方微博,县,否,福建省南平市光泽县
福州发布,认证：福州市政务微博群管理办公室官方微博,,否,福州市
中国消防,认证：公安部消防局官方微博,,否,
漳州公安,认证：福建省漳州市公安局官方微博,,否,福建省漳州市
莆田气象,认证：莆田市气象局官方微博,,否,莆田市
平安漳平,认证：福建省龙岩市漳平市公安局官方微博,,否,福建省龙岩市
平安漳平—交通管理大队,认证：漳平市公安局交通管理大队官方微博,,否,漳平市
龙岩公安博警在线,认证：福建省龙岩市公安局官方微博,,否,福建省龙岩市
三明公安,认证：福建省三明市公安局官方微博,,否,福建省三明市
建德发布,认证：建德市人民政府新闻办公室,,否,建德市
杭州余杭消防大队,认证：杭州市公安消防局余杭大队官方微博,,否,杭州市
海宁发布,认证：浙江省海宁市人民政府新闻办公室官方微博,,否,浙江省海宁市
江苏国土资源,认证：江苏省国土资源厅官方微博,省,否,江苏省
淮安政务,认证：淮安市行政审批局官方微博,,否,淮安市
泰州发布,认证：泰州市人民政府新闻办公室官方微博,,否,泰州市
镇江市政府12345热线,认证：镇江市政府办公室12345为民服务热线官方微博,,否,镇江市
南京政务服务,认证：江苏省南京市政务服务管理办公室官方微博,,否,江苏省南京市
广州水务,认证：广州市水务局官方微博,,否,广州市
梅州水务,认证：广东省梅州市水务局官方微博,,否,广东省梅州市
南海水务,认证：广东省佛山市南海区国土城建和水务局（水务）官方微博,县,否,广东省佛山市南海区
桂城水务,认证：佛山市南海区国土城建和水务局桂城水务管理所官方微博,县,否,佛山市南海区
高明水务,认证：佛山市高明区国土城建和水务局官方微博,县,否,佛山市高明区
清远水务,认证：广东省清远市水务局官方微博,,否,广东省清远市
扬州教育在线,认证：江苏省扬州市教育局官方微博,,否,江苏省扬州市
江都区安监,认证：江苏省扬州市江都区安全生产监督管理局官方微博,县,否,江苏省扬州市江都区
镇江发布,认证：镇江市政府新闻办公室官方微博,,否,镇江市
活力内蒙古,认证：内蒙古自治区互联网信息办公室官方微博,县,否,内蒙古省自治区
唐山发布,认证：唐山市人民政府新闻办公室官方微博,,否,唐山市
河北发布,认证：河北省人民政府新闻办公室官方微博,,否,河北省
河北安监,认证：河北省安全生产监督管理局官方微博,,否,河北省
交警刘学,认证：沈阳市公安局交警支队宣传处《看今天》“出行问学”、“路况直播”主持人,,否,沈阳市
沈阳铁西公安,认证：沈阳市公安局铁西分局官方微博,,否,沈阳市
大连民政,认证：大连市民政局官方微博,,否,大连市
沈阳铁路,认证：中国铁路沈阳局集团有限公司官方微博,,否,
辽宁气象,认证：辽宁省气象局官方微博,,否,辽宁省
辽宁鞍山气象,认证：鞍山市气象局官方微博,,否,鞍山市
中国普法,认证：全国普法办公室,,否,
爱上昌平,认证：昌平区旅游局官方微博,县,否,昌平区
天外探宝,认证：洛阳市洛宁县公安局政治处宣传科民警 张伯伟,县,否,洛阳市洛宁县
平安中原,认证：河南省公安厅官方微博,省,否,河南省
平安洛阳,认证：河南省洛阳市公安局官方微博新浪微博社区委员会专家成员,县,否,河南省洛阳市博社区
邢台发布,认证：河北省邢台市委对外宣传办公室官方微博,,否,河北省邢台市
邢台市城市管家,认证：河北省邢台市城市管理行政执法局官方微博,,否,河北省邢台市
石家庄发布,认证：河北省石家庄市人民政府新闻办公室官方微博,,否,河北省家庄市
河北天气,认证：河北省气象局官方微博,,否,河北省
山西发布,认证：山西省人民政府新闻办公室官方微博,,否,山西省
南京安监,认证：江苏省南京市安全生产监督管理局官方微博,,否,江苏省南京市
如皋城管,认证：江苏省如皋市城管局官方微博,,否,江苏省如皋市
幸福大丰,认证：江苏省盐城市大丰区人民政府办公室官方微博,县,否,江苏省盐城市大丰区
清风漯河,认证：漯河市纪委监察局官方微博,,否,漯河市
吉林发布,认证：吉林省人民政府新闻办公室官方微博,,否,吉林省
吉林市发布,认证：吉林市政府新闻办公室官方微博,,否,吉林省吉林市
秦皇岛发布,认证：河北省秦皇岛市委宣传部互联网信息办公室官方微博,,否,河北省皇岛市
秦皇岛天气,认证：秦皇岛市气象局官方微博,,否,皇岛市
浦江发布,认证：浙江省浦江县人民政府新闻办公室官方微博,县,否,浙江省浦江县
中建三局工会,认证：中国建筑第三工程局工会委员会,,否,
总包青年,认证：中建三局股份公司工程总承包公司团委,,否,
呼和浩特发布,认证：内蒙古呼和浩特市人民政府办公厅官方微博,市,否,内蒙古省浩特市
左权国税12366,认证：山西省晋中市左权县国家税务局官方微博,县,否,山西省晋中市左权县
左权教育,认证：山西省晋中市左权县教育科技局官方微博,县,否,山西省晋中市左权县
晋中交通,认证：山西省晋中市交通运输局官方微博,,否,山西省晋中市
金山传播,认证：上海市金山区人民政府新闻办公室,县,否,上海省上海市金山区
上海松江水务,认证：上海市松江区水务局官方微博,县,否,上海省上海市松江区
嘉定发布,认证：上海市嘉定区人民政府新闻办公室官方微博,县,否,上海省上海市嘉定区
文化包头,认证：内蒙古包头市文化广播电影电视局官方微博,,否,内蒙古省包头市
说会就会,认证：  广东省行政管理学会 办公室副主任 余贞备,,否,广东省
深圳微博发布厅,认证：深圳市互联网信息办公室官方微博,,否,深圳市
天津食品药品监管,认证：天津市食品药品监督管理局官方微博,,否,天津省天津市
天津交警,认证：天津市公安交通管理局官方微博,,否,天津省天津市
平安天津,认证：天津市公安局官方微博,,否,天津省天津市
百姓身边事儿,认证：北京市百姓宣讲办公室官方微博,,否,北京省北京市
平安北京,认证：北京市公安局官方微博,,否,北京省北京市
平安宁河,认证：天津市公安局宁河分局官方微博,,否,天津省天津市
天津发布,认证：天津市人民政府新闻办公室官方微博,,否,天津省天津市
上海崇明,认证：上海市崇明区人民政府新闻办公室官方微博,县,否,上海省上海市崇明区
上海食药监,认证：上海市食品药品监督管理局官方微博,,否,上海省上海市
上海闵行,认证：上海市闵行区人民政府新闻办公室官方微博,县,否,上海省上海市闵行区
曹妃甸发布,认证：唐山市曹妃甸区政府新闻办公室,县,否,唐山市妃甸区
唐山网警巡查执法,认证：唐山市公安局网络安全保卫支队官方微博,,否,唐山市
邯郸公安网络发言人,认证：河北邯郸市公安局官方微博,,否,河北省邯郸市
上海交警,认证：上海市公安局交通警察总队官方微博,,否,上海省上海市
珠海发布,认证：珠海市人民政府新闻办公室官方微博,,否,珠海市
深圳市水务局,认证：深圳市水务局官方微博,,否,深圳市
宿迁城管,认证：宿迁市城管局官方微博,,否,宿迁市
问政银川,认证：银川市委办公厅、市政府办公厅官方微博,市,否,银川市
质量新疆,认证：新疆维吾尔自治区质量技术监督局官方微博,县,否,新疆省自治区
新疆发布,认证：新疆维吾尔自治区人民政府新闻办公室官方微博,县,否,新疆省自治区
轮台政务微博,认证：新疆巴音郭楞轮台县人民政府办公室官方微博,县,否,新疆省轮台县
上海海洋石油报,认证：中国石化上海海洋石油局《上海海洋石油》官方微博,,否,上海省
深圳交警,认证：广东省深圳市公安局交警支队官方微博,,否,广东省深圳市
伊宁县发布,认证：新疆伊犁州伊宁县人民政府新闻办公室官方微博,县,否,新疆省伊宁县
呼图壁发布,认证：新疆呼图壁县对外宣传办公室官方微博,县,否,新疆省图壁县
幸福顺德,认证：佛山市顺德区新闻办公室官方微博,县,否,佛山市顺德区
湘潭交警支队,认证：湘潭市公安局交警支队,,否,湘潭市
长沙县公安局交警大队_平安365,认证：湖南省长沙县公安局交通警察大队官方微博,县,否,湖南省长沙县
长沙县发布,认证：湖南省长沙县网络宣传管理办公室官方微博,县,否,湖南省长沙县
中山发布,认证：广东省中山市人民政府新闻办公室官方微博,,否,广东省中山市
文明新疆,认证：新疆维吾尔自治区精神文明指导委员会办公室官方微博,省,否,新疆省自治区
蒹葭lm,认证：中国石化西北石油局西北油田分公司党委办公室员工,,否,
平安哈尔滨,认证：黑龙江省哈尔滨市公安局官方微博,,否,黑龙江省哈尔滨市
哈尔滨铁路局,认证：中国铁路哈尔滨局集团有限公司官方微博,,否,
昆明食品药品监管,认证：云南省昆明市食品药品监督管理局官方微博,,否,云南省昆明市
哈尔滨城管局,认证：哈尔滨市城管局官方微博,,否,哈尔滨市
东莞市卫生和计划生育局,认证：东莞市卫生局官方微博,,否,东莞市
平安同心,认证：宁夏同心县公安局官方微博,县,否,宁夏省同心县
湛江天气,认证：湛江市气象局官方微博,,否,湛江市
湛江供电,认证：广东电网有限责任公司湛江供电局,,否,广东省
珠海供电,认证：广东电网公司珠海供电局官方微博,,否,广东省
中山供电,认证：广东电网公司中山供电局,,否,广东省
江门供电,认证：广东电网有限责任公司江门供电局,,否,广东省
惠州供电,认证：广东电网公司惠州供电局官方微博,,否,广东省
健仔叔,认证：珠海市国家税务局干部,,否,珠海市
湛江发布,认证：广东省湛江市人民政府新闻办公室,,否,广东省湛江市
广东发布,认证：广东省人民政府新闻办公室官方微博,,否,广东省
南海发布,认证：广东省佛山市南海区人民政府新闻办公室,县,否,广东省佛山市南海区
南海公安,认证：佛山市公安局南海分局官方微博,,否,佛山市
佛山交警微路况,认证：佛山市公安局交警支队官方微博,,否,佛山市
公安主持人,认证：“公安主持人”，佛山市公安局官方网络发言人。,,否,佛山市
汕尾发布,认证：广东省汕尾市人民政府新闻办公室官方微博,,否,广东省汕尾市
平安梅州,认证：广东梅州公安局,,否,广东省
茂名发布,认证：广东省茂名市人民政府新闻办公室官方微博,,否,广东省茂名市
黑龙江发布,认证：黑龙江省人民政府新闻办公室官方微博,,否,黑龙江省
中国广州发布,认证：广州市互联网信息办公室官方微博,,否,广州市
深圳消防之窗,认证：广东省深圳市公安局消防监督管理局官方微博,,否,广东省深圳市
深圳市城市管理局,认证：深圳市城市管理局官方微博,,否,深圳市
宝安城市管理,认证：深圳市宝安区城市管理（行政执法）局官方微博,县,否,深圳市宝安区
福田供电,认证：深圳供电局有限公司福田供电局官方微博,,否,深圳市
深圳供电,认证：深圳供电局有限公司,,否,深圳市
深圳公安,认证：深圳市公安局官方微博,,否,深圳市
段郎说事,认证：九江市公安局民警段兴焱 微博签约自媒体,,否,九江市
郑州新闻,认证：郑州市互联网信息办公室官方微博,,否,郑州市
郑州房管局,认证：郑州市住房保障和房地产管理局官方微博,,否,郑州市
平安安阳,认证：河南省安阳市公安局官方微博,,否,河南省安阳市
微昭通,认证：云南省昭通市人民政府新闻办公室官方微博,,否,云南省昭通市
宁夏发布,认证：宁夏回族自治区人民政府新闻办公室官方微博,县,否,宁夏省自治区
银川人社,认证：银川市人力资源和社会保障局官方微博,,否,银川市
清风郾城,认证：漯河市郾城区纪委监察局官方微博,县,否,漯河市郾城区
精彩河南,认证：河南省人民政府新闻办公室官方微博,,否,河南省
河南网信,认证：河南省互联网信息办公室官方微博,,否,河南省
菏泽发布,认证：山东省菏泽市人民政府新闻办公室官方微博,,否,山东省菏泽市
济南市政,认证：济南市市政公用事业局官方微博,,否,济南市
青岛教育微博,认证：青岛市教育局官方微博、教育官微联盟成员,,否,青岛市
淄博发布,认证：淄博市人民政府新闻办公室 官方微博,,否,淄博市
平安红河,认证：云南省红河州公安局官方微博,,否,云南省
济南教育微播报,认证：济南市教育局官方微博、教育官微联盟成员,,否,济南市
青岛发布,认证：青岛市人民政府新闻办公室官方微博,,否,青岛市
淄博物价,认证：山东省淄博市物价局官方微博,,否,山东省淄博市
东营发布,认证：山东省东营市人民政府新闻办公室官方微博,,否,山东省东营市
潍坊发布,认证：山东省潍坊市人民政府新闻办公室官方微博,,否,山东省潍坊市
巴中教育,巴中市教育局新浪官方微博,,否,巴中市
巴南政务,认证：重庆市巴南区对外宣传办公室官方微博,县,否,重庆省重庆市巴南区
日照发布,认证：山东省日照市人民政府新闻办公室,,否,山东省日照市
平安重庆,认证：重庆市公安局官方微博,,否,重庆省重庆市
重庆天气,认证：重庆市气象局官方微博,,否,重庆省重庆市
城阳交警,认证：青岛市公安局交通警察支队城阳大队官方微博,,否,青岛市
城阳交通运输,认证：青岛市城阳区交通运输局官方微博,县,否,青岛市城阳区
青岛市北发布,认证：青岛市市北区人民政府新闻办公室官方微博,县,否,青岛市市北区
渭南发布,认证：渭南市人民政府办公室,,否,渭南市
临渭发布,认证：陕西省渭南市临渭区信息化工作办公室官方微博,县,否,陕西省渭南市临渭区
陕西渭南公安,认证：陕西省渭南市公安局官方微博,,否,陕西省渭南市
陕西渭南临渭公安,认证：陕西省渭南市公安局临渭分局官方微博,,否,陕西省渭南市
渭南交警支队,认证：陕西省渭南市公安局交通警察支队官方微博,,否,陕西省渭南市
渭南市交警临渭大队,认证：陕西省渭南市公安局交警支队临渭大队官方微博,,否,陕西省渭南市
三毛的-撒哈拉,认证：榆林市公安局交通警察支队二大队 警官,,否,榆林市
西安公安新城分局,认证：陕西省西安市公安局新城分局官方微博,,否,陕西省西安市
超群世界观,认证：陕西省榆林市公安局交警支队办公室警官,,否,陕西省榆林市
陕西社会组织,认证：陕西省民间组织管理局官方微博,,否,陕西省
威海发布,认证：威海市人民政府新闻办公室官方微博,,否,威海市
临沂发布,认证：山东省临沂市人民政府新闻办公室官方微博,,否,山东省临沂市
莱芜发布,认证：山东省莱芜市政府新闻办公室官方微博,,否,山东省莱芜市
莱芜消防,认证：莱芜市公安消防局官方微博,,否,莱芜市
泰安公安,认证：山东省泰安市公安局官方微博,,否,山东省泰安市
五莲发布,认证：山东省日照市五莲县人民政府新闻办公室官方微博,县,否,山东省日照市五莲县
河南高速公安,认证：河南省公安厅高速公路公安局官方微博,省,否,河南省
河南省文化厅,认证：河南省文化厅官方微博,省,否,河南省
警营微报员,认证：洛阳市新安县公安局 宣传科民警,县,否,洛阳市新安县
国家税务总局,认证：国家税务总局新闻宣传办公室,,否,
清风中原,认证：河南省纪委监察厅官方微博,省,否,河南省
清风安阳县,认证：安阳市安阳县纪委监察局官方微博,县,否,安阳市安阳县
南宁铁路,认证：中国铁路南宁局集团有限公司官方微博,,否,南宁
微博贵州,认证：贵州省互联网信息办公室,,否,贵州省
问政大理,认证：大理白族自治州人民政府政务服务管理局,,否,大理
平安妥甸,认证：楚雄州双柏县公安局妥甸派出所,县,否,双柏县
双柏警方,认证：云南省楚雄州双柏县公安局官方微博,县,否,云南省双柏县
楚雄发布,认证：中共楚雄州委外宣办、楚雄州人民政府新闻办公室官方微博,,否,楚雄市
平安江苏,认证：江苏省公安厅官方微博,省,否,江苏省
苏州公安,认证：苏州市公安局官方微博,,否,苏州市
韩城公安,认证：陕西省韩城市公安局官方微博,,否,陕西省韩城市
陇南旅游,认证：甘肃省陇南市旅游局官方微博,,否,甘肃省陇南市
滨州公安,认证：山东省滨州市公安局官方微博,,否,山东省滨州市
陕西公安,认证：陕西省公安厅官方微博,省,否,陕西省
榆林公安,认证：陕西省榆林市公安局官方微博,,否,陕西省榆林市
延安公安,认证：陕西省延安市公安局官方微博,,否,陕西省延安市
北京铁路,认证：中国铁路北京局集团有限公司,,否,北京省
青岛地铁,认证：青岛地铁工程建设指挥部办公室官方微博,,否,青岛
山东发布,认证：山东省人民政府新闻办公室官方微博,,否,山东省
南昌铁路,认证：中国铁路南昌局集团有限公司官方微博,,否,
不安生的边红红,认证：    中石化华北石油局第一采油厂红一联合站集输工,,否,
新乡气象,认证：河南省新乡市气象局官方微博,,否,河南省新乡市
焦作发布,认证：焦作市人民政府新闻办公室官方微博,,否,焦作市
文明许昌,认证：河南省许昌市精神文明建设指导委员会办公室官方微博,,否,河南省许昌市
清风义马,认证：河南省三门峡市义马市纪委监察局预防腐败局官方微博,,否,河南省门峡市
嵩县旅游张相正,认证：嵩县旅游局副局长,县,否,：嵩县
北海发布,认证：北海市人民政府新闻办公室官方微博,,否,北海市
平安宜都,认证：湖北省宜都市公安局官方微博,,否,湖北省宜都市
我不是画家张荣佳,认证：中交隧道局丽香铁路项目部工程部副部长,,否,
应城市委市政府新闻办,认证：中共应城市委、应城市人民政府新闻办公室官方微博,,否,应城市
湖北民政,认证：湖北省民政厅官方微博,省,否,湖北省
宜昌往事,认证：中共宜昌市委党史（地方志）办公室官方微博,,否,宜昌市
温江教育,认证：成都市温江区教育局官方微博,县,否,成都市温江区
金温江,认证：成都市温江区人民政府新闻办公室官方微博,县,否,成都市温江区
四川发布,认证：四川省人民政府新闻办公室,,否,四川省
微博德阳,认证：德阳市人民政府新闻办公室官方微博,,否,德阳市
成都工商,认证：成都市工商管理局官方微博,,否,成都市
四川资阳公安交警,认证：四川省资阳市公安局交通警察支队,,否,四川省资阳市
四川人社,认证：四川省人力资源和社会保障厅官方微博,省,否,四川省
广西朱德宗,认证：百色供电局党委副书记,,否,
广西公安,认证：广西壮族自治区公安厅官方微博,省,否,广西省自治区
西安公安,认证：陕西省西安市公安局官方微博，新浪微博社区委员会专家成员,市,否,陕西省西安市博社区
四川安监煤监,认证：四川省安全监管局 四川煤监局官方微博,,否,四川省
彬县党务公开官方微博,认证：彬县县委办公室官方微博,县,否,彬县
中国咸阳门户网站,认证：陕西省咸阳市政务信息化办公室官方微博,,否,陕西省咸阳市
渭城创建,认证：陕西省咸阳市渭城区创建工作领导小组办公室官方微博,县,否,陕西省咸阳市渭城区
榆林交警,认证：榆林市公安局交通警察支队官方微博,,否,榆林市
榆林交警三大队,认证：陕西省榆林市公安局交通警察支队三大队官方微博,,否,陕西省榆林市
陕西交警,认证：陕西省公安厅交通警察总队官方微博,省,否,陕西省
兰州永登公安,认证：甘肃省兰州市永登县公安局官方微博,县,否,甘肃省兰州市永登县
上海铁警发布,认证：上海铁路公安局官方微博,,否,上海省
广铁警方在线,认证：广州铁路公安局官方微博,,否,广州
兰州铁路,认证：中国铁路兰州局集团有限公司,,否,兰州
兰州市城关区政府办公室,认证：兰州市城关区人民政府办公室官方微博,县,否,兰州市城关区
湖北食品药品监管,认证：湖北省食品药品监督管理局官方微博,,否,湖北省
武汉食品药品监管,认证：武汉市食品药品监督管理局官方微博,,否,武汉市
武汉发布,认证：武汉市互联网信息办公室,,否,武汉市
湖北发布,认证：湖北省人民政府新闻办公室官方微博,,否,湖北省
武汉消防,认证：武汉市公安消防局官方微博,,否,武汉市
郑州市城市管理局,认证：郑州市城市管理局官方微博,,否,郑州市
文明郑州微博,认证：郑州市精神文明建设指导委员会办公室官方微博,,否,郑州市
兰山发布,认证：山东省临沂市兰山区委对外宣传办公室官方微博,县,否,山东省临沂市兰山区
黄石市旅游局官方微博,认证：黄石旅游局官方微博,,否,黄石
成都安监发布,认证：成都市安全生产监督管理局官方微博,,否,成都市
平安武汉,认证：武汉市公安局官方微博,,否,武汉市
